Topic1,Topic2,Topic3
0.390122260461258,0.0281413230930691,0.581736416445673
0.35718734987407,0.0231662264300464,0.619646423695884
0.564876025540396,0.0288104223498356,0.406313552109768
0.545792967560748,0.0174937191327597,0.436713313306492
0.106487157241112,0.0107348533077157,0.882777989451172
0.838966334271498,0.0605640642916254,0.100469601436877
0.694388567781006,0.0851992469169754,0.220412185302018
0.928669692702665,0.0403160271685186,0.0310142801288166
0.0614724443869424,0.0168205170920784,0.921707038520979
0.439338977776978,0.090272961701971,0.470388060521051
0.224127554221896,0.0404072303999597,0.735465215378144
0.32482461096276,0.0195554670088829,0.655619922028357
0.614759898158602,0.0276039320478566,0.357636169793541
0.14313437627223,0.0459237364397462,0.810941887288023
0.295962250571862,0.0331668728506133,0.670870876577525
0.663630338110813,0.021514214395356,0.314855447493831
0.49181768496269,0.0225613327999307,0.48562098223738
0.0291093029188636,0.0123887558344834,0.958501941246653
0.451495884061495,0.0207343532932883,0.527769762645217
0.175329757260948,0.05031081456988,0.774359428169172
0.731969115310416,0.0148412095842164,0.253189675105367
0.0432936343285317,0.0733883662691529,0.883317999402315
0.0805204016767926,0.0190468436302003,0.900432754693007
0.0358285462951475,0.0368056566202487,0.927365797084604
0.0476115838871697,0.0425919755989382,0.909796440513892
0.232830362814284,0.0214563010078059,0.74571333617791
0.254774879269128,0.0281402829310126,0.717084837799859
0.822775309378718,0.0229488496403998,0.154275840980882
0.0310523368987192,0.0330375542320278,0.935910108869253
0.725286952788764,0.0301996942054884,0.244513353005747
0.51112056398872,0.0381888328661822,0.450690603145098
0.444064428095467,0.0591770066942592,0.496758565210273
0.520177875394134,0.0501106709301555,0.429711453675711
0.185503182865587,0.0327285951159946,0.781768222018418
0.556769326220134,0.0324547475714486,0.410775926208417
0.514504034901761,0.0558547189888134,0.429641246109426
0.0374039114963357,0.0228056946234438,0.939790393880221
0.234324338172307,0.125862169457019,0.639813492370675
0.186706222705319,0.0245098588195595,0.788783918475121
0.783435542932734,0.0350936387062184,0.181470818361048
0.0279596620760163,0.0198405825269113,0.952199755397072
0.168452564072264,0.0210683010057275,0.810479134922009
0.0318084608947917,0.0184770324276147,0.949714506677594
0.107493635107534,0.0184233174270847,0.874083047465382
0.945850530013181,0.0114636469569982,0.0426858230298205
0.196914417413228,0.0269686334570207,0.776116949129751
0.451224969276352,0.106164782596667,0.442610248126981
0.140096956776762,0.0592774353418908,0.800625607881347
0.317554817301763,0.0385457980117482,0.643899384686489
0.251668268497646,0.103219255902258,0.645112475600096
0.184379664271517,0.0557562256026164,0.759864110125867
0.772040391284532,0.0752454630952533,0.152714145620215
0.296061269954059,0.0251419587506339,0.678796771295307
0.814395438405559,0.0157624825904889,0.169842079003952
0.0628608452598512,0.013379799154324,0.923759355585825
0.957905437311366,0.0139822898735796,0.0281122728150544
0.0902607685755318,0.151957742603911,0.757781488820557
0.333578788999908,0.0937617145031698,0.572659496496923
0.572326309133958,0.0344543618754453,0.393219328990596
0.150458696719784,0.069257685109739,0.780283618170477
0.613211688596307,0.258352700927358,0.128435610476335
0.931965177934,0.0175927268604082,0.0504420952055914
0.241118725508152,0.0287156727728054,0.730165601719043
0.0307580498732397,0.0206910873342235,0.948550862792537
0.828581391786887,0.0304059249863353,0.141012683226778
0.859283570106874,0.0437433308826959,0.0969730990104296
0.14783099424462,0.0491784202432378,0.802990585512142
0.126184530132513,0.0581048894387877,0.8157105804287
0.153018061045849,0.0619807496773394,0.785001189276812
0.155211548288781,0.0188513994490738,0.825937052262146
0.122598570930976,0.0995101128168617,0.777891316252163
0.0731282347652986,0.0897347328254363,0.837137032409265
0.373561537714953,0.0328078004294295,0.593630661855618
0.0925906279362639,0.0359925241934691,0.871416847870267
0.0843790924741865,0.137144624158898,0.778476283366915
0.0552419323151089,0.0532993513029274,0.891458716381964
0.323170878410025,0.0383934004985347,0.63843572109144
0.29375819911235,0.125615361307726,0.580626439579924
0.185467332703379,0.0219800859628587,0.792552581333763
0.620094560961465,0.0490428836903369,0.330862555348198
0.194091599552543,0.0136095838225885,0.792298816624869
0.687213425996231,0.0224834595863037,0.290303114417465
0.0600026520424237,0.0488051550031261,0.89119219295445
0.13312229011876,0.0291198129475293,0.837757896933711
0.391237057294197,0.0271146740905309,0.581648268615273
0.694705575024952,0.04807052878304,0.257223896192008
0.492647892134132,0.0605189640320246,0.446833143833843
0.0768616619486495,0.0162965622704141,0.906841775780936
0.700240476839895,0.0243485839387729,0.275410939221332
0.537412346465036,0.029522243969326,0.433065409565637
0.785682860679706,0.0161388279803617,0.198178311339932
0.197263401453194,0.0336845304699409,0.769052068076865
0.850619674627561,0.0168676061833131,0.132512719189126
0.31802120509746,0.115297289891335,0.566681505011206
0.165179258539117,0.204509798922478,0.630310942538405
0.751533516901965,0.0230839381915815,0.225382544906453
0.450847902177278,0.413158408823116,0.135993688999607
0.511589642356622,0.02888141529704,0.459528942346338
0.314803284913018,0.0382851037075614,0.64691161137942
0.0337452884934442,0.0262705387720546,0.939984172734501
0.318089358882186,0.130633246622618,0.551277394495197
0.0431158590099648,0.181620925912768,0.775263215077267
0.285460300468704,0.0293796785484972,0.685160020982799
0.189782287253332,0.0736135495790641,0.736604163167604
